TEXT	TEXT_TN	TYPE	NOTE
Um there's also like beauty treatment	there's also like beauty treatment	5	um at sentence beginning(Um)
I can do this and i lived by myself um so i thought	I can do this and i lived by myself so i thought	5	um in the middle
as we move out of Q2	as we move out of Q two	2	"Seasons Q{1,2,3,4}"
and you can imagine if you're spending 120	and you can imagine if you're spending a hundred and twenty	2	3-digit cardinal
4-Mar-14	the fourth of march twenty fourteen		
1065520	one million sixty five thousand five hundred twenty		
PbSO4	lead two sulphate		
vol	volume		
23-Jul	july twenty third		
2007/11/24	the twenty fourth of november two thousand seven		
-3	minus three		
stuff it into you his belly counseled him	stuff it into you his belly counselled him	4	consel
number 10 fresh Nelly is waiting on you goodnight husband	number ten fresh Nelly is waiting on you goodnight husband	2	number 10
 he recalled the words the words of Shelly's fragment 	he recalled the words the words of Shelley's fragment	4	shelley
but the dusk deepening in the school room 	but the dusk deepening in the schoolroom 	8	schoolroom
then you can ask him questions on the catechism Daedalus	then you can ask him questions on the catechism Dedalus	4	Dedalus
The Retreat will begin on Wednesday afternoon in honor 	The Retreat will begin on Wednesday afternoon in honour 	4	honor
he still saw a reflection there in of their top heavy silk hats	he still saw a reflection therein of their top heavy silk hats	8	therein
words was it their colors	words was it their colours	4	color
the most part one touch of black is put for the Halo 2 	the most part one touch of black is put for the Halo two	2	number 2
 even their brightest sun sets produced chiefly out of gray paper	 even their brightest sunsets produced chiefly out of gray paper	8	sunsets
you know I've just been telling you	you know I have just been telling you	3	I've
may be realized completely	maybe realized completely	8	maybe
but now here's the subject of which you will wonder	but now here is the subject of which you will wonder	3	here is
her one Sheaf of corn to an old water mill 	her one Sheaf of corn to an old watermill 	8	watermill
house cleaning a domestic upheaval that makes it easy 	housecleaning a domestic upheaval that makes it easy 	8	housecleaning
land as soon as think the place where he would be but ah	land as soon as think the place where he would be but	5	ah in the end
he still held an honorable Place among the colonial magistracy	he still held an honourable Place among the colonial magistracy	4	honorable
yay his honorable worship is within 	his honorable worship is within 	5	yay in the beginning
little Pearl who was as greatly pleased with the gleaming armor 	little Pearl who was as greatly pleased with the gleaming armour	4	armor
there were a few rose bushes 	 there were a few rosebushes	8	rosebushes
in sight of the house of dr. pipped	 in sight of the house of doctor pipped 	1	dr
we're traveling reply dojo	 we are traveling reply dojo 	3	we're
I'm not allowed to perform magic 	 I am not allowed to perform magic	3	I'm
 all has been taking lessons of Glenda	all has been taking lessons of Glinda 	4	Glinda
practised intellects were intently engaged	practiced intellects were intently engaged 	4	practise
I knew was that which belonged to my servant banister a man 	I knew was that which belonged to my servant bannister one man 	4	bannister
now mr. soames at your disposal	 now mister soames at your disposal 	1	mr
I'm afraid there are no signs here said he	 I am afraid there are no signs here said he 	3	I'm
mr. soames was somewhat overwhelmed by this flood of information	 mister soames was somewhat overwhelmed by this flood of information 	1	mr
Holmes  stooped suddenly to the floor hello what's this	 Holmes stooped suddenly to the floor hello what is this 	3	what's
I will take the black clay with me also the pencil cuttings good bye	 I will take the black clay with me also the pencil cuttings goodbye 	4	goodbye
