TEXT	TEXT_TN	TYPE	NOTE
"0.78 of the population are Christian , 13.7% are not religious"	" zero point seven eight  of the population are Christian , thirteen point seven  percent are not religious "		
"0.78 of the population are Christian , 13.7% are not religious"	" zero point seven eight  of the population are Christian , thirteen point seven  percent are not religious "		
"4.2 million British tourists and 260000 foreign tourists visited the county in 2002 , spending a combined total of ©S768 million"	" four point two  million British tourists and two hundred and sixty thousand foreign tourists visited the county in two thousand and two , spending one combined total of ©Sseven hundred and sixty eight million "		
"4.2 million British tourists and 260000 foreign tourists visited the county in 2002 , spending a combined total of ©S768 million"	" four point two  million British tourists and two hundred and sixty thousand foreign tourists visited the county in two thousand and two , spending one combined total of ©Sseven hundred and sixty eight million "		
"4.2 million British tourists and 260000 foreign tourists visited the county in 2002 , spending a combined total of ©S768 million"	" four point two  million British tourists and two hundred and sixty thousand foreign tourists visited the county in two thousand and two , spending one combined total of ©Sseven hundred and sixty eight million "		
"4.2 million British tourists and 260000 foreign tourists visited the county in 2002 , spending a combined total of ©S768 million"	" four point two  million British tourists and two hundred and sixty thousand foreign tourists visited the county in two thousand and two , spending one combined total of ©Sseven hundred and sixty eight million "		
"65Zn , which has a half-life of 243.66 days , is the most long-lived isotope , followed by 72Zn with a half-life of 46.5 hours"	" sixty fiveZn , which has one halflife of two hundred and forty three point six six  days , is the most longlived isotope , followed by seventy twoZn with one halflife of forty six point five  hours "		
"65Zn , which has a half-life of 243.66 days , is the most long-lived isotope , followed by 72Zn with a half-life of 46.5 hours"	" sixty fiveZn , which has one halflife of two hundred and forty three point six six  days , is the most longlived isotope , followed by seventy twoZn with one halflife of forty six point five  hours "		
"65Zn , which has a half-life of 243.66 days , is the most long-lived isotope , followed by 72Zn with a half-life of 46.5 hours"	" sixty fiveZn , which has one halflife of two hundred and forty three point six six  days , is the most longlived isotope , followed by seventy twoZn with one halflife of forty six point five  hours "		
"65Zn , which has a half-life of 243.66 days , is the most long-lived isotope , followed by 72Zn with a half-life of 46.5 hours"	" sixty fiveZn , which has one halflife of two hundred and forty three point six six  days , is the most longlived isotope , followed by seventy twoZn with one halflife of forty six point five  hours "		
