favor	favour
summarize	summarise
categorize	categorise
centre	center
fibre	fiber
litre	liter
theatre	theater
labour	labor
humour	humor
apologize	apologise
organize	organise
analogue	analog
catalogue	catalog
dialogue	dialog
defence	defense
licence	license
offence	offense
leukaemia	leukemia
manoeuvre	maneuver
oestrogen	estrogen
recognise	recognize
paralyse	paralyze
breathalyse	breathalyze
travelled	traveled
traveller	traveler
acknowledgment	acknowledgement
colour	color
mamma	mama
neighbourhood	neighborhood
cancelled	canceled
dining	dinning
flack	flak
armor	armour
Glenda	Glinda
practise	practice
practised	practiced
banister	bannister
Toombs	Tooms
cresswell	creswell
forth	fourth
colored	coloured
scepticism	skepticism
learnt	learned
vol	volume
bannister	banister
Toombs	Tooms
blonde	blond
levelling	leveling
centres	centers
centre	center
p.m.	PM
pm	PM
cm	centimeter
mm	millimeter
km	kilometer
practise	practice
metre	meter
centimetre	centimeter
millimetre	millimeter
kilometre	kilometer
metres	meters
centimetres	centimeters
millimetres	millimeters
gotta	got to
gonna	going to
wanna	want to
kilometres	kilometers
okay	ok
counseled	counselled
splendour	splendor
discolour	discolor
honour	honor
honourable	honorable
