favor favour
summarize summarise
categorize categorise
centre center
fibre fiber
litre liter
theatre theater
labour labor
humour humor
apologize apologise
organize organise
Leila Lila
analogue analog
catalogue catalog
dialogue dialog
defence defense
licence license
offence offense
leukaemia leukemia
manoeuvre maneuver
oestrogen estrogen
recognise recognize 
paralyse paralyze
breathalyse breathalyze
travelled traveled
traveller traveler
acknowledgment acknowledgement
Bessie Bessy
colour color
mamma mama
Dickey Dickie
neighbourhood neighborhood
Salzburg Salzberg
cancelled canceled
konrad Conrad
dining dinning
flack flak
armor armour
Glenda Glinda
practise practice
practised practiced
banister bannister
Toombs Tooms
cresswell creswell
forth	fourth
colored coloured
scepticism skepticism
m meter
Meghan Megan
Keane Kane
learnt learned
Tindall Tyndall
Rodgers Rogers
Daveed David
Raphael Rafael
Zack Zach
McNeese McNees
blonde blond
Catherine Katherine
Battenberg Battenburg
levelling leveling
centres centers
centre center
p.m. PM
pm PM
cm centimeter
mm millimeter
km kilometer
practise practice
metre meter
centimetre centimeter
millimetre millimeter
kilometre kilometer
metres meters
centimetres centimeters
millimetres millimeters
kilometres kilometers

