在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
在2016年呢这个这个人民银行呢成立了数字货币研究所。	在二零一六年呢这个这个人民银行呢成立了数字货币研究所。
那么2017年呢这个开始进行这个数字人民币的研发。	那么二零一七年呢这个开始进行这个数字人民币的研发。
那么2020年呢我们看到呢就是有4+1的这个试点呢开始进行推进。	那么二零二零年呢我们看到呢就是有四+一的这个试点呢开始进行推进。
雄安小一点，成都是1650万人。	雄安小一点，成都是一千六百五十万人。
其中深深圳呢是1340万人，苏州是1075万人。	其中深深圳呢是一千三百四十万人，苏州是一千零七十五万人。
那么这个呢也是想说明，呢所以对中国来讲呢是4个城市。	那么这个呢也是想说明，呢所以对中国来讲呢是四个城市。
占到这个这个15%左右的这个比重。	占到这个这个百分之十五左右的这个比重。
比重呢已经是比较高了，那么2020年呢可能就将近60%了。	比重呢已经是比较高了，那么二零二零年呢可能就将近百分之六十了。
那么再有呢就是2019年移动支付占个人消费支出的这个比重呢超过了60%。	那么再有呢就是二零一九年移动支付占个人消费支出的这个比重呢超过了百分之六十。
现在大家都在讨论5g。	现在大家都在讨论五g。
那么你拿中国的例子来讲讲，呢过去呢我们什么第3代人民币切换到第4代人民币，第4代切换到第5代。	那么你拿中国的例子来讲讲，呢过去呢我们什么第三代人民币切换到第四代人民币，第四代切换到第五代。
这个每个切换都要10年左右，然后以后还有很多遗留问题。	这个每个切换都要十年左右，然后以后还有很多遗留问题。
唉我在这里呢说就是我个人呢曾经很喜欢那个就是移动电话这个4G系统的时候。	唉我在这里呢说就是我个人呢曾经很喜欢那个就是移动电话这个四G系统的时候。
干了多少年以后，最后还是出了5g。	干了多少年以后，最后还是出了五g。
你也不能100%协调协调。好，所以有时候呢它会出现差异。	你也不能百分之一百协调协调。好，所以有时候呢它会出现差异。
我们在这儿想说一下呢就是上面所所所说的这些这个开发的思路。	我们在这想说一下呢就是上面所所所说的这些这个开发的思路。
人民银行它已经体会到唉这事儿呢可能不那么简单。	人民银行它已经体会到唉这事呢可能不那么简单。
我是7:10开始的，我觉得我还是可以讲完的。	我是七:十开始的，我觉得我还是可以讲完的。
这个我周围这些同事们呢他们的主我听到的主要意见，就是唉不要着急，马上搞搞这个事儿。	这个我周围这些同事们呢他们的主我听到的主要意见，就是唉不要着急，马上搞搞这个事。
大家也说就是说特别是08年危机出现的情况下，那时候。	大家也说就是说特别是零八年危机出现的情况下，那时候。
可能还唉这个事儿还是要做恰当的这个这个这个这个分析。	可能还唉这个事还是要做恰当的这个这个这个这个分析。
对于这个 m0和m1或者说现超数字货币和这个其他账户之间的关系。	对于这个 m零和m一或者说现超数字货币和这个其他账户之间的关系。
2020那个民营企业500强颁布的时候，我有过一个发言。	二零二零那个民营企业五百强颁布的时候，我有过一个发言。
播这个时间很短，是20分钟，那么今天呢这个时间略长一点，所以我可以把一些看法呢稍微讲的详细一点。	播这个时间很短，是二十分钟，那么今天呢这个时间略长一点，所以我可以把一些看法呢稍微讲的详细一点。
要比所有这些年度性的事件还要更加深刻一点。因为它跟我们改革开放40年来。	要比所有这些年度性的事件还要更加深刻一点。因为它跟我们改革开放四十年来。
如果说40年前中国视频当年的贫穷加上改革开放。	如果说四十年前中国视频当年的贫穷加上改革开放。
举两个印象非常深的例子，2008年是美国金融危机爆发的那一年。	举两个印象非常深的例子，二零零八年是美国金融危机爆发的那一年。
这个美国的这个华尔街把全球经济烧了这么大的洞，但就在2008年美国有一家公司就是苹果公司。	这个美国的这个华尔街把全球经济烧了这么大的洞，但就在二零零八年美国有一家公司就是苹果公司。
那我们的底下呢跟40年前有很大的变化，40年前比中国穷的国家有很多。	那我们的底下呢跟四十年前有很大的变化，四十年前比中国穷的国家有很多。
我从2017年也在深圳讨论的时候提出过这个中国经济要突围，为什么要突围呢就是被围住了。	我从二零一七年也在深圳讨论的时候提出过这个中国经济要突围，为什么要突围呢就是被围住了。
从90年代早期的时候，几百亿美元这种储备变成几万亿美元储备。	从九零年代早期的时候，几百亿美元这种储备变成几万亿美元储备。
好的很当中潜伏的危机呢有过两次爆发，第一次我刚才提到过就是08年金融危机。	好的很当中潜伏的危机呢有过两次爆发，第一次我刚才提到过就是零八年金融危机。
最后把全球金融烧了很大的库，那么从17年以后呢就开始中美贸易战了。	最后把全球金融烧了很大的库，那么从十七年以后呢就开始中美贸易战了。
03年04年就说全球失衡失衡的最突出表现就是蓝颜色美国的逆差，红颜色是中国的顺差。	零三年零四年就说全球失衡失衡的最突出表现就是蓝颜色美国的逆差，红颜色是中国的顺差。
1978年之前的全球二战以后大概就这个局面。	一九七八年之前的全球二战以后大概就这个局面。
3300人来争那个100,010块钱的资本。	三三零零人来争那个一百,零一十块钱的资本。
这是法国年轻的经济学家写的这本，有名的书叫21世纪资本论。	这是法国年轻的经济学家写的这本，有名的书叫二十一世纪资本论。
19世纪有一本马克思的资本论，那是原始积累和早期资本主义时候的。	十九世纪有一本马克思的资本论，那是原始积累和早期资本主义时候的。
0.5左右，这是非常危险的这种基尼系数。	零点五左右，这是非常危险的这种基尼系数。
那最后就所谓99对1/900人口的这个矛盾。	那最后就所谓九十九对九百分之一人口的这个矛盾。
